county,deer_sex,ratio,sd,harv,sd_harv,DoeLimit,BuckLimit,APR,Area
Baxter,Antlered,0.467082688,0.039742839,63.71428571,22.11119087,3,2,0,554
Baxter,Button Buck,0.077848054,0.018342073,10.42857143,3.505098328,3,2,0,554
Baxter,Doe,0.455069258,0.036081393,60.57142857,12.99816837,3,2,0,554
Boone,Antlered,0.518581424,0.022305174,996.5,209.31248,3,2,0,590
Boone,Button Buck,0.071508122,0.008728192,137.5,33.43223423,3,2,0,590
Boone,Doe,0.409910454,0.021136757,787.125,157.6455677,3,2,0,590
Carroll,Antlered,0.586007594,0.017671748,644.375,124.8792989,3,2,0,630
Carroll,Button Buck,0.059487794,0.01183628,66.25,19.18891049,3,2,0,630
Carroll,Doe,0.354504612,0.012982214,391.5,83.71721107,3,2,0,630
Madison,Antlered,0.532841871,0.037519889,216.25,46.09849703,3,2,0,834
Madison,Button Buck,0.062315584,0.019250317,25.625,11.77087811,3,2,0,834
Madison,Doe,0.404842545,0.0418184,164.25,35.28152086,3,2,0,834
Marion,Antlered,0.491965427,0.032940905,760.125,168.8612596,3,2,0,597
Marion,Button Buck,0.07875107,0.007409038,121.75,27.30122969,3,2,0,597
Marion,Doe,0.429283502,0.036254637,662.125,144.3224935,3,2,0,597
Newton,Antlered,0.536332595,0.031722215,777.875,281.9196631,3,2,0,821
Newton,Button Buck,0.072488165,0.009834444,108.5,47.68348022,3,2,0,821
Newton,Doe,0.39117924,0.025098428,585,261.2830977,3,2,0,821
Pope,Antlered,0.472704501,0.086590591,20.25,6.065122776,3,2,0,812
Pope,Button Buck,0.079942436,0.044136775,3.375,1.767766953,3,2,0,812
Pope,Doe,0.447353062,0.081304183,19,5.070925528,3,2,0,812
Searcy,Antlered,0.523895954,0.011594268,895.75,128.4876314,3,2,0,669
Searcy,Button Buck,0.072977292,0.012072865,126,31.8747549,3,2,0,669
Searcy,Doe,0.403126754,0.013641412,688,89.77113758,3,2,0,669
Stone,Antlered,0.484567484,0.026568272,370.125,78.93657038,3,2,0,609
Stone,Button Buck,0.080071646,0.013220003,62.125,18.7116274,3,2,0,609
Stone,Doe,0.43536087,0.026085092,335.25,84.58596641,3,2,0,609
Van Buren,Antlered,0.462007617,0.063441512,35.75,8.24187912,3,2,0,708
Van Buren,Button Buck,0.071159081,0.019226246,5.5,1.927248223,3,2,0,708
Van Buren,Doe,0.466833301,0.069111886,35.75,6.860862087,3,2,0,708
Baxter,Antlered,0.467082688,0.039742839,63.71428571,22.11119087,2,2,1,554
Baxter,Button Buck,0.077848054,0.018342073,10.42857143,3.505098328,2,2,1,554
Baxter,Doe,0.455069258,0.036081393,60.57142857,12.99816837,2,2,1,554
Boone,Antlered,0.511427011,0.021918406,1081,99.8164983,2,2,1,590
Boone,Button Buck,0.066908671,0.004496125,141.5,15.69500982,2,2,1,590
Boone,Doe,0.421664318,0.023231924,888.25,21.92981228,2,2,1,590
Carroll,Antlered,0.566279989,0.026079921,650.25,30.77201109,2,2,1,630
Carroll,Button Buck,0.059034659,0.00922186,67.75,10.62622542,2,2,1,630
Carroll,Doe,0.374685352,0.020673662,431,37.89459064,2,2,1,630
Madison,Antlered,0.522338699,0.030349544,159.5,15.17673658,2,2,1,834
Madison,Button Buck,0.056230761,0.017059948,17,4.242640687,2,2,1,834
Madison,Doe,0.421430539,0.031937552,130,26.16613588,2,2,1,834
Marion,Antlered,0.494064279,0.02406479,829.5,88.24775729,2,2,1,597
Marion,Button Buck,0.061648224,0.008483422,102.75,10.24288371,2,2,1,597
Marion,Doe,0.444287497,0.023344155,743.75,46.41389878,2,2,1,597
